snp-dists 0.6.3,2009_36,BA2175,BA5274,BA8206,BA8217,BA8315,BA8325,BA8327,BA8618,BA8663,BA9049,BA9272,BA9321,BA9326,BA9328,BA9381,BA9437,BA9712,BA9739,BA9751,BA9752,CA0053,CA0067,CA0076,CA0077,CA0100,CA0101,CA0102,CA0103,CA0115,CA0117,CA0122,CA0125,CA0135,CA0139,CA0141,CA0833,CA0873,CA0878,CA0883,CA0885,CA0909,CA0910,CA0912,CA0925,CA0926,CA0927,CA1310,CA4383,CA4403,CA4405,CA4465,DA2215,DA2290,DA3592,DA3741,DA3769,DA4589,DA4592,DA4594,DA4618,DA4619,DA4621,DA4624,DA4626,DA4632,DA4642,DA4643,DA4649,DA4650,DA4655,DA4809,DA5291,DA9429,EA0976,EA2246,EA2892,EA3951,EA4711,EA4737,F2_14D,FA9052,FA9055,FA9057,FA9058,FA9061,FA9063,FA9064,FA9065,FA9067,FA9074,FA9085,FA9092,FA9097,FA9098,FA9107,FA9110,FA9114,FA9118,FA9120,FA9124,FA9125,FA9126,FA9130,FA9131,FA9134,FA9136,FA9137,FA9143,FA9148,FA9149,FA9152,FA9160,FA9950,FA9952,GA3026,GA6612,GA6622,GA6630,GA6631,GA6643,GA6645,GA6646,GA6791,GA8084,HA0015,HA0017,HA0071,HA3119,HA7251,HA7630,HA7663,HA9360,HA9399,HA9450,HA9520,HA9631,IA0869,IA0983,IA1829,IA2820,IA3637,IA3885,IA4037,IA4046,IA4053,IA4072,IA4090,IA4093,IA4095,IA4127,IA4128,IA4131,IA4141,IA4156,IA4159,IA4417,IA6627,IA6645,IA7281,IA8900,IA9379,JA3253,JA4514,JA5749,JA7896,JA8189,JA8190,JA8241,JA8252,JA8266,JA8320,JA8385,JA8469,KA1772,KA1794,KA1850,KA1851,KA1855,KA3718,KA3808,KA3838,KA3859,KA3870,KA3909,KA3977,KA3983,KA4015,KA4076,KA4140,KA4205,KA4213,KA4242,KA4253,KA4309,KA4331,KA4334,KA4355,KA4595,KA4627,KA4871,KA5027,KA5737,KA5738,KA9540,LA0853,LA0995,LA1141,LA1145,LA1148,LA3619,LA3621,LA3622,LA3663,LA3664,LA3674,LA5125,LA5503,LA5585,LA7429,LA8319,LA8327,LA8340,LA8344,LA8346,LA8355,LA8360,LA8364,LA8371,LA8375,LA8377,LA8390,LA8392,LA8404,LA8411,LA8416,LA8424,LA8426,LA8428,LA8430,LA8434,LA8440,LA8441,LA8442,LA8445,LA8446,LA8448,LA8456,LA8457,LA8472,LA8475,LA8478,LA8483,LA8484,LA8485,LA8488,LA8498,LA8500,LA8507,LA8511,LA8515,LA8519,MA0016,MA0187,MA0279,MA0428,MA0476,MA0512,MA0520,MA1021,MA1055,MA1299,MA1951,MA3056,MA3100,MA3107,MA3136,MA3161,MA3646,MA5127,MA5807,MA5825,Reference
IA3885,54,42,48,55,63,67,57,52,44,79,71,52,39,38,50,54,47,65,58,43,56,43,53,65,56,66,60,64,73,85,85,64,84,47,61,55,71,69,41,58,57,49,57,52,47,46,60,50,76,56,69,69,57,54,54,54,48,72,49,61,56,53,50,53,53,67,42,75,51,53,38,52,43,62,50,47,76,65,48,55,54,58,43,47,42,45,43,48,51,39,52,81,49,47,41,70,73,38,83,82,82,47,65,70,47,43,52,48,44,45,41,38,52,66,60,59,66,56,48,52,58,57,59,65,74,70,69,52,70,69,72,69,55,53,62,61,68,57,62,47,47,48,0,60,54,49,69,50,58,52,66,63,51,65,76,64,56,69,56,55,54,58,60,58,47,60,63,63,72,62,71,65,69,71,54,53,53,52,53,56,73,79,72,55,56,76,78,61,52,60,85,46,79,80,47,56,82,75,49,47,51,49,60,70,50,62,55,51,45,45,52,49,52,45,47,61,76,60,62,55,79,61,51,55,78,60,46,50,50,46,63,42,34,51,41,56,84,50,58,43,63,51,52,53,59,49,57,82,54,60,56,46,49,46,51,47,74,60,59,45,46,46,41,76,48,50,61,45,58,40,65,89,81,47,77,51,50,52,56,63,65,45,57
IA4037,52,40,40,39,11,15,37,32,42,75,65,44,37,36,42,46,45,63,56,27,54,25,45,57,48,58,52,56,65,77,77,56,76,29,53,47,63,65,33,54,49,41,51,44,39,38,52,48,68,52,61,59,49,46,38,38,30,64,41,57,48,45,48,45,45,63,40,69,43,45,36,44,39,60,34,27,68,11,46,47,52,36,27,39,26,27,27,30,49,23,50,73,45,29,25,62,65,22,85,76,74,45,57,62,31,27,34,30,28,43,39,36,50,58,52,39,58,28,31,34,52,51,51,61,66,16,15,34,16,65,20,17,47,45,42,53,58,37,58,47,31,46,60,0,36,45,63,32,40,34,12,7,33,11,22,10,46,61,48,47,46,56,58,56,31,56,55,55,64,54,63,57,15,17,46,45,45,44,45,36,63,69,62,35,54,66,68,55,32,56,69,44,69,70,45,40,74,65,41,39,49,47,58,16,30,60,53,49,43,43,44,41,44,37,39,53,68,54,58,47,75,9,35,35,74,44,44,30,34,44,11,40,32,35,39,48,78,34,54,23,11,35,32,37,51,45,49,74,46,56,40,44,41,44,35,45,70,58,51,35,34,34,39,68,46,48,9,43,54,38,61,85,75,45,69,49,40,34,36,47,59,43,51
IA4046,46,34,34,33,41,45,35,30,36,69,59,38,31,30,36,40,39,57,50,17,48,19,39,51,42,52,46,50,59,71,71,50,70,23,47,41,57,59,27,48,43,35,45,38,33,32,46,42,62,46,55,53,43,40,32,32,24,58,35,51,42,39,42,39,39,57,34,63,37,39,30,38,33,54,28,25,62,41,40,41,46,34,21,33,20,21,21,24,43,17,44,67,39,19,19,56,59,16,79,70,68,39,51,56,25,21,24,16,22,37,33,30,44,52,46,37,52,32,26,28,46,45,45,55,60,46,45,28,46,59,50,47,41,39,40,47,52,35,52,41,25,40,54,36,0,39,57,18,34,20,42,39,19,41,52,40,40,55,42,41,40,50,52,50,25,50,49,49,58,48,57,51,45,47,40,39,39,38,39,34,57,63,56,33,48,60,62,49,30,50,63,38,63,64,39,34,68,59,35,33,43,41,52,46,28,54,47,43,37,37,38,35,38,31,33,47,62,48,52,41,69,39,29,33,68,38,38,28,28,38,41,34,26,29,33,42,72,28,48,21,41,29,30,31,45,39,43,68,40,50,34,38,35,38,29,39,64,52,45,29,28,28,33,62,40,42,39,37,48,32,55,79,69,39,63,43,34,20,34,41,53,37,45
IA4053,37,25,35,42,50,54,44,39,27,66,58,39,22,21,37,41,22,52,45,30,43,28,40,52,43,53,47,51,60,70,70,51,69,32,48,42,58,56,28,45,44,36,44,39,34,33,47,29,61,37,56,54,44,41,41,41,33,59,36,42,43,40,33,40,40,54,25,62,38,40,21,39,24,49,37,34,63,50,31,42,37,43,30,34,29,30,30,33,38,26,39,66,34,32,28,57,60,25,74,69,67,28,52,57,34,30,37,33,31,28,22,21,39,53,47,46,53,41,35,37,45,44,46,52,61,55,54,37,55,56,59,56,42,40,49,48,53,44,49,32,34,31,49,45,39,0,56,35,43,37,51,48,36,50,61,49,43,56,43,42,41,41,43,41,34,47,48,48,57,47,58,50,54,56,41,40,40,39,40,43,60,66,59,42,39,63,65,48,39,47,72,29,66,67,30,43,69,62,36,34,34,32,43,55,37,45,38,34,28,28,39,36,39,32,34,48,63,47,49,42,66,48,38,42,65,47,29,37,37,29,50,25,17,38,24,43,71,37,45,30,50,38,39,40,46,36,44,69,41,47,43,29,36,29,38,30,61,43,46,32,31,31,24,63,31,33,48,28,45,23,52,76,68,30,64,34,37,37,43,50,52,28,44
IA4072,61,49,51,58,66,70,60,55,51,84,32,55,46,45,53,57,54,72,65,46,63,46,56,68,59,69,63,67,76,74,74,67,73,50,64,58,74,74,44,63,60,52,60,55,50,49,63,57,79,63,72,72,60,57,57,57,51,75,52,68,59,56,57,56,56,72,49,64,54,56,45,55,50,69,53,50,79,68,55,58,61,61,46,50,45,48,46,51,58,42,59,70,56,50,44,73,76,41,94,51,71,54,68,73,50,46,55,51,47,52,48,45,59,69,63,62,69,59,51,55,61,60,62,70,77,73,72,55,73,74,75,72,58,56,65,64,71,60,67,56,50,55,69,63,57,56,0,53,61,55,69,66,54,68,79,67,59,72,59,58,57,65,67,65,50,65,66,66,75,65,74,68,72,74,57,56,56,55,56,59,76,82,75,58,63,79,81,64,55,65,88,53,82,83,54,59,85,78,52,50,58,56,67,73,53,69,62,58,52,52,55,52,55,48,50,64,79,63,67,58,84,64,54,58,83,63,53,53,53,53,66,49,41,54,48,59,87,53,63,46,66,54,55,56,62,54,60,85,57,65,59,53,52,53,54,54,79,67,62,48,49,49,48,79,55,57,64,52,63,47,70,94,50,54,80,58,53,55,59,66,68,52,60
IA4090,42,30,30,29,37,41,31,26,32,65,55,34,27,26,32,36,35,53,46,13,44,15,35,47,38,48,42,46,55,67,67,46,66,19,43,37,53,55,23,44,39,31,41,34,29,28,42,38,58,42,51,49,39,36,28,28,20,54,31,47,38,35,38,35,35,53,30,59,33,35,26,34,29,50,24,21,58,37,36,37,42,30,17,29,16,17,17,20,39,13,40,63,35,15,15,52,55,12,75,66,64,35,47,52,21,17,20,12,18,33,29,26,40,48,42,33,48,28,22,24,42,41,41,51,56,42,41,24,42,55,46,43,37,35,36,43,48,31,48,37,21,36,50,32,18,35,53,0,30,2,38,35,1,37,48,36,36,51,38,37,36,46,48,46,21,46,45,45,54,44,53,47,41,43,36,35,35,34,35,30,53,59,52,29,44,56,58,45,26,46,59,34,59,60,35,30,64,55,31,29,39,37,48,42,24,50,43,39,33,33,34,31,34,27,29,43,58,44,48,37,65,35,25,29,64,34,34,24,24,34,37,30,22,25,29,38,68,24,44,17,37,25,26,27,41,35,39,64,36,46,30,34,31,34,25,35,60,48,41,25,24,24,29,58,36,38,35,33,44,28,51,75,65,35,59,39,30,4,30,37,49,33,41
IA4093,50,38,38,37,45,49,39,34,40,73,63,42,35,34,40,44,43,61,54,25,52,23,43,55,46,56,50,54,63,75,75,54,74,27,51,45,61,63,31,52,47,39,49,42,37,36,50,46,66,50,59,57,47,44,36,36,28,62,39,55,46,43,46,43,43,61,38,67,41,43,34,42,37,58,32,29,66,45,44,45,50,38,25,37,24,25,25,28,47,21,48,71,43,27,23,60,63,20,83,74,72,43,55,60,29,25,32,28,26,41,37,34,48,56,50,41,56,36,30,32,50,49,49,59,64,50,49,32,50,63,54,51,45,43,44,51,56,39,56,45,29,44,58,40,34,43,61,30,0,32,46,43,31,45,56,44,44,59,46,45,44,54,56,54,29,54,53,53,62,52,61,55,49,51,44,43,43,42,43,38,61,67,60,37,52,64,66,53,34,54,67,42,67,68,43,38,72,63,39,37,47,45,56,50,32,58,51,47,41,41,42,39,42,35,37,51,66,52,56,45,73,43,33,37,72,42,42,32,32,42,45,38,30,33,37,46,76,32,52,25,45,33,34,35,49,43,47,72,44,54,38,42,39,42,33,43,68,56,49,33,32,32,37,66,44,46,43,41,52,36,59,83,73,43,67,47,38,32,38,45,57,41,49
IA4095,44,32,32,31,39,43,33,28,34,67,57,36,29,28,34,38,37,55,48,15,46,17,37,49,40,50,44,48,57,69,69,48,68,21,45,39,55,57,25,46,41,33,43,36,31,30,44,40,60,44,53,51,41,38,30,30,22,56,33,49,40,37,40,37,37,55,32,61,35,37,28,36,31,52,26,23,60,39,38,39,44,32,19,31,18,19,19,22,41,15,42,65,37,17,17,54,57,14,77,68,66,37,49,54,23,19,22,14,20,35,31,28,42,50,44,35,50,30,24,26,44,43,43,53,58,44,43,26,44,57,48,45,39,37,38,45,50,33,50,39,23,38,52,34,20,37,55,2,32,0,40,37,3,39,50,38,38,53,40,39,38,48,50,48,23,48,47,47,56,46,55,49,43,45,38,37,37,36,37,32,55,61,54,31,46,58,60,47,28,48,61,36,61,62,37,32,66,57,33,31,41,39,50,44,26,52,45,41,35,35,36,33,36,29,31,45,60,46,50,39,67,37,27,31,66,36,36,26,26,36,39,32,24,27,31,40,70,26,46,19,39,27,28,29,43,37,41,66,38,48,32,36,33,36,27,37,62,50,43,27,26,26,31,60,38,40,37,35,46,30,53,77,67,37,61,41,32,6,32,39,51,35,43
IA4127,58,46,46,45,17,21,43,38,48,81,71,50,43,42,48,52,51,69,62,33,60,31,51,63,54,64,58,62,71,83,83,60,82,35,59,53,69,71,39,60,55,47,57,50,45,44,58,54,74,58,67,65,55,52,44,44,36,70,47,63,54,51,54,51,51,69,46,75,49,51,42,50,45,66,40,33,74,9,52,53,58,42,33,45,32,33,33,36,55,29,56,79,51,35,31,68,71,28,91,82,80,51,63,68,37,33,40,36,34,49,45,42,56,64,58,45,64,34,37,40,58,57,57,67,72,22,21,40,22,71,26,23,53,51,48,59,64,43,64,53,37,52,66,12,42,51,69,38,46,40,0,15,39,9,28,8,52,67,54,53,52,62,64,62,37,62,61,61,70,60,69,63,21,23,52,51,51,50,51,42,69,75,68,41,60,72,74,61,38,62,75,50,75,76,51,46,80,71,47,45,55,53,64,22,36,66,59,55,49,49,50,47,50,43,45,59,74,60,64,53,81,15,41,41,80,50,50,36,40,50,17,46,38,41,45,54,84,40,60,29,17,41,38,43,57,51,55,80,52,62,46,50,47,50,41,51,76,64,57,41,40,40,45,74,52,54,15,49,60,44,67,91,81,51,75,55,46,40,42,53,65,49,57
IA4128,55,43,43,42,14,18,40,35,45,78,68,47,40,39,45,49,48,66,59,30,57,28,48,60,51,61,55,59,68,80,80,59,79,32,56,50,66,68,36,57,52,44,54,47,42,41,55,51,71,55,64,62,52,49,41,41,33,67,44,60,51,48,51,48,48,66,43,72,46,48,39,47,42,63,37,30,71,14,49,50,55,39,30,42,29,30,30,33,52,26,53,76,48,32,28,65,68,25,88,79,77,48,60,65,34,30,37,33,31,46,42,39,53,61,55,42,61,31,34,37,55,54,54,64,69,19,18,37,19,68,23,20,50,48,45,56,61,40,61,50,34,49,63,7,39,48,66,35,43,37,15,0,36,14,25,13,49,64,51,50,49,59,61,59,34,59,58,58,67,57,66,60,18,20,49,48,48,47,48,39,66,72,65,38,57,69,71,58,35,59,72,47,72,73,48,43,77,68,44,42,52,50,61,19,33,63,56,52,46,46,47,44,47,40,42,56,71,57,61,50,78,12,38,38,77,47,47,33,37,47,14,43,35,38,42,51,81,37,57,26,14,38,35,40,54,48,52,77,49,59,43,47,44,47,38,48,73,61,54,38,37,37,42,71,49,51,12,46,57,41,64,88,78,48,72,52,43,37,39,50,62,46,54
IA4131,43,31,31,30,38,42,32,27,33,66,56,35,28,27,33,37,36,54,47,14,45,16,36,48,39,49,43,47,56,68,68,47,67,20,44,38,54,56,24,45,40,32,42,35,30,29,43,39,59,43,52,50,40,37,29,29,21,55,32,48,39,36,39,36,36,54,31,60,34,36,27,35,30,51,25,22,59,38,37,38,43,31,18,30,17,18,18,21,40,14,41,64,36,16,16,53,56,13,76,67,65,36,48,53,22,18,21,13,19,34,30,27,41,49,43,34,49,29,23,25,43,42,42,52,57,43,42,25,43,56,47,44,38,36,37,44,49,32,49,38,22,37,51,33,19,36,54,1,31,3,39,36,0,38,49,37,37,52,39,38,37,47,49,47,22,47,46,46,55,45,54,48,42,44,37,36,36,35,36,31,54,60,53,30,45,57,59,46,27,47,60,35,60,61,36,31,65,56,32,30,40,38,49,43,25,51,44,40,34,34,35,32,35,28,30,44,59,45,49,38,66,36,26,30,65,35,35,25,25,35,38,31,23,26,30,39,69,25,45,18,38,26,27,28,42,36,40,65,37,47,31,35,32,35,26,36,61,49,42,26,25,25,30,59,37,39,36,34,45,29,52,76,66,36,60,40,31,5,31,38,50,34,42
IA4141,57,45,45,44,16,20,42,37,47,80,70,49,42,41,47,51,50,68,61,32,59,30,50,62,53,63,57,61,70,82,82,61,81,34,58,52,68,70,38,59,54,46,56,49,44,43,57,53,73,57,66,64,54,51,43,43,35,69,46,62,53,50,53,50,50,68,45,74,48,50,41,49,44,65,39,32,73,0,51,52,57,41,32,44,31,32,32,35,54,28,55,78,50,34,30,67,70,27,90,81,79,50,62,67,36,32,39,35,33,48,44,41,55,63,57,44,63,33,36,39,57,56,56,66,71,21,20,39,21,70,25,22,52,50,47,58,63,42,63,52,36,51,65,11,41,50,68,37,45,39,9,14,38,0,27,7,51,66,53,52,51,61,63,61,36,61,60,60,69,59,68,62,20,22,51,50,50,49,50,41,68,74,67,40,59,71,73,60,37,61,74,49,74,75,50,45,79,70,46,44,54,52,63,21,35,65,58,54,48,48,49,46,49,42,44,58,73,59,63,52,80,14,40,40,79,49,49,35,39,49,16,45,37,40,44,53,83,39,59,28,16,40,37,42,56,50,54,79,51,61,45,49,46,49,40,50,75,63,56,40,39,39,44,73,51,53,14,48,59,43,66,90,80,50,74,54,45,39,41,52,64,48,56
IA4156,68,56,56,55,27,19,53,48,58,91,81,60,53,52,58,62,61,79,72,43,70,41,61,73,64,74,68,72,81,93,93,72,92,45,69,63,79,81,49,70,65,57,67,60,55,54,68,64,84,68,77,75,65,62,54,54,46,80,57,73,64,61,64,61,61,79,56,85,59,61,52,60,55,76,50,43,84,27,62,63,68,52,43,55,42,43,43,46,65,39,66,89,61,45,41,78,81,38,101,92,90,61,73,78,47,43,50,46,44,59,55,52,66,74,68,55,74,44,47,50,68,67,67,77,82,32,31,50,32,81,16,13,63,61,58,69,74,53,74,63,47,62,76,22,52,61,79,48,56,50,28,25,49,27,0,26,62,77,64,63,62,72,74,72,47,72,71,71,80,70,79,73,31,13,62,61,61,60,61,52,79,85,78,51,70,82,84,71,48,72,85,60,85,86,61,56,90,81,57,55,65,63,74,32,46,76,69,65,59,59,60,57,60,53,55,69,84,70,74,63,91,25,51,51,90,60,60,46,50,60,27,56,48,51,55,64,94,50,70,39,27,51,48,53,67,61,65,90,62,72,56,60,57,60,51,61,86,74,67,51,50,50,55,84,62,64,25,59,70,54,77,101,91,61,85,65,56,50,52,63,75,59,67
IA4159,56,44,44,43,15,19,41,36,46,79,69,48,41,40,46,50,49,67,60,31,58,29,49,61,52,62,56,60,69,81,81,60,80,33,57,51,67,69,37,58,53,45,55,48,43,42,56,52,72,56,65,63,53,50,42,42,34,68,45,61,52,49,52,49,49,67,44,73,47,49,40,48,43,64,38,31,72,7,50,51,56,40,31,43,30,31,31,34,53,27,54,77,49,33,29,66,69,26,89,80,78,49,61,66,35,31,38,34,32,47,43,40,54,62,56,43,62,32,35,38,56,55,55,65,70,20,19,38,20,69,24,21,51,49,46,57,62,41,62,51,35,50,64,10,40,49,67,36,44,38,8,13,37,7,26,0,50,65,52,51,50,60,62,60,35,60,59,59,68,58,67,61,19,21,50,49,49,48,49,40,67,73,66,39,58,70,72,59,36,60,73,48,73,74,49,44,78,69,45,43,53,51,62,20,34,64,57,53,47,47,48,45,48,41,43,57,72,58,62,51,79,13,39,39,78,48,48,34,38,48,15,44,36,39,43,52,82,38,58,27,15,39,36,41,55,49,53,78,50,60,44,48,45,48,39,49,74,62,55,39,38,38,43,72,50,52,13,47,58,42,65,89,79,49,73,53,44,38,40,51,63,47,55
IA4417,48,36,36,41,49,53,43,38,38,71,61,40,33,32,38,42,41,59,52,29,50,29,41,53,44,54,48,52,61,75,75,52,74,33,49,43,59,61,29,50,45,37,47,40,35,34,48,44,66,50,57,57,45,42,40,40,34,60,37,55,44,41,44,41,41,59,36,65,39,41,32,40,37,56,36,33,64,51,42,43,48,44,29,35,28,31,29,34,45,25,46,71,43,33,27,58,61,24,81,72,72,41,53,58,33,29,38,34,30,39,35,32,46,54,48,45,54,40,34,38,48,47,47,57,62,56,55,38,56,61,58,55,43,41,48,49,56,43,54,43,33,42,56,46,40,43,59,36,44,38,52,49,37,51,62,50,0,57,44,43,42,52,54,52,33,52,53,53,62,52,59,55,55,57,42,41,41,40,41,42,59,65,58,41,50,62,64,51,38,52,71,40,65,66,41,42,70,61,37,35,45,43,54,56,36,56,49,45,39,39,40,37,40,33,35,49,64,50,54,43,71,47,37,41,70,46,40,36,36,40,49,36,28,37,35,44,74,36,50,29,49,37,38,39,47,41,45,70,42,52,42,40,37,40,37,41,66,54,47,21,22,22,35,64,42,44,47,39,50,34,57,81,71,41,65,45,26,38,42,49,55,39,47
IA6627,61,49,49,56,64,68,56,53,51,84,74,53,46,45,51,55,54,72,65,44,63,44,54,66,57,67,61,65,74,88,88,65,87,48,62,56,72,74,42,63,58,50,60,53,48,47,61,57,79,63,70,70,58,55,55,55,49,73,50,68,57,54,57,54,54,72,49,78,52,54,45,53,50,69,51,48,77,66,55,56,61,59,44,48,43,46,44,49,58,40,59,84,56,48,42,71,74,39,94,85,85,54,66,71,48,44,53,49,45,52,48,45,59,67,61,60,67,57,49,53,61,60,60,70,75,71,70,53,71,74,73,70,56,54,63,62,69,58,67,56,48,55,69,61,55,56,72,51,59,53,67,64,52,66,77,65,57,0,35,56,55,65,67,65,48,65,66,66,75,65,72,68,70,72,55,54,54,53,54,57,74,80,73,56,63,77,79,64,53,65,86,53,80,81,54,57,83,76,50,48,58,56,67,71,51,69,62,58,52,52,53,50,53,46,48,62,77,63,67,56,84,62,52,56,83,61,53,51,51,53,64,49,41,52,48,57,87,51,63,44,64,52,53,54,60,54,58,83,55,65,57,53,50,53,52,54,79,67,60,46,47,47,48,77,55,57,62,52,63,47,70,94,84,54,78,58,51,53,57,64,68,52,60
IA6645,48,36,36,43,51,55,45,40,38,71,61,40,33,32,38,42,41,59,52,31,50,31,41,53,44,54,48,52,61,75,75,52,74,35,49,43,59,61,29,50,45,37,47,40,35,34,48,44,66,50,57,57,45,42,42,42,36,60,37,55,44,41,44,41,41,59,36,65,39,41,32,40,37,56,38,35,64,53,42,43,48,46,31,35,30,33,31,36,45,27,46,71,43,35,29,58,61,26,81,72,72,41,53,58,35,31,40,36,32,39,35,32,46,54,48,47,54,44,36,40,48,47,47,57,62,58,57,40,58,61,60,57,43,41,50,49,56,45,54,43,35,42,56,48,42,43,59,38,46,40,54,51,39,53,64,52,44,35,0,43,42,52,54,52,35,52,53,53,62,52,59,55,57,59,42,41,41,40,41,44,61,67,60,43,50,64,66,51,40,52,73,40,67,68,41,44,70,63,37,35,45,43,54,58,38,56,49,45,39,39,40,37,40,33,35,49,64,50,54,43,71,49,39,43,70,48,40,38,38,40,51,36,28,39,35,44,74,38,50,31,51,39,40,41,47,41,45,70,42,52,44,40,37,40,39,41,66,54,47,33,34,34,35,64,42,44,49,39,50,34,57,81,71,41,65,45,38,40,44,51,55,39,47
IA7281,47,35,35,42,50,54,44,39,37,70,60,39,32,31,37,41,40,58,51,30,49,30,40,52,43,53,47,51,60,74,74,51,73,34,48,42,58,60,28,49,44,36,46,39,12,33,37,43,65,49,56,54,44,41,41,41,35,59,36,54,43,40,43,40,40,58,35,64,38,40,31,39,36,55,37,34,63,52,41,42,47,45,30,34,29,32,30,35,44,26,45,70,42,34,28,57,60,25,80,71,71,40,52,55,34,30,39,35,31,38,34,31,45,53,45,46,53,43,35,39,47,46,46,56,51,57,56,39,57,60,59,56,42,40,49,48,45,44,53,42,34,41,55,47,41,42,58,37,45,39,53,50,38,52,63,51,43,56,43,0,41,51,53,51,34,51,52,52,61,51,58,54,56,58,41,40,40,39,40,43,60,66,59,42,49,63,65,50,39,51,72,39,66,67,40,43,69,62,14,12,44,42,53,57,37,55,48,44,38,38,29,36,39,32,34,48,61,49,53,42,70,48,38,42,69,47,39,37,37,39,50,35,27,38,34,43,73,37,49,30,50,38,39,40,46,40,44,69,41,51,43,39,36,39,38,40,65,53,46,32,33,33,34,53,41,43,48,38,49,33,56,80,70,40,64,44,37,39,43,50,54,38,46
IA8900,46,34,26,41,49,53,43,38,36,69,59,30,31,30,30,34,39,57,50,29,48,29,31,45,36,46,40,44,51,73,73,44,72,33,39,33,51,59,19,48,37,27,45,30,33,24,46,42,64,48,49,55,37,32,40,40,34,52,29,53,34,31,42,33,31,57,34,63,29,31,30,32,35,54,36,33,62,51,40,33,46,44,29,25,28,31,29,34,43,25,44,69,41,33,27,56,59,24,79,70,70,39,45,56,33,29,38,34,30,37,33,30,44,52,46,45,46,42,34,38,46,45,37,55,60,56,55,38,56,59,58,55,35,31,48,41,54,43,52,41,33,40,54,46,40,41,57,36,44,38,52,49,37,51,62,50,42,55,42,41,0,50,52,50,33,50,51,51,60,50,51,53,55,57,32,31,31,30,31,42,59,65,58,41,48,62,64,49,38,50,71,38,65,66,39,42,68,61,35,33,43,41,52,56,36,54,47,43,37,37,38,27,30,23,25,39,62,48,52,41,69,47,37,41,68,46,38,36,36,38,49,34,26,37,33,34,72,36,48,29,49,37,38,39,37,39,35,68,32,50,42,38,27,38,37,39,64,52,37,31,32,32,33,62,40,42,47,37,48,32,55,79,69,39,63,43,36,38,42,49,53,37,45
IA9379,46,34,44,51,59,63,53,48,36,75,67,48,31,30,46,50,39,61,54,39,52,39,49,61,52,62,56,60,69,81,81,60,80,43,57,51,67,65,37,54,53,45,53,48,43,42,56,42,72,48,65,65,53,50,50,50,44,68,45,53,52,49,42,49,49,63,34,71,47,49,30,48,35,58,46,43,72,61,40,51,46,54,39,43,38,41,39,44,47,35,48,77,45,43,37,66,69,34,83,78,78,39,61,66,43,39,48,44,40,37,33,30,48,62,56,55,62,52,44,48,54,53,55,61,70,66,65,48,66,65,68,65,51,49,58,57,64,53,58,41,43,40,58,56,50,41,65,46,54,48,62,59,47,61,72,60,52,65,52,51,50,0,52,12,43,56,59,59,68,58,67,59,65,67,50,49,49,48,49,52,69,75,68,51,40,72,74,57,48,56,81,38,75,76,39,52,78,71,45,43,43,41,52,66,46,46,47,43,37,37,48,45,48,41,43,57,72,56,58,51,75,57,47,51,74,56,38,46,46,38,59,34,26,47,33,52,80,46,54,39,59,47,48,49,55,45,53,78,50,56,52,38,45,38,47,39,70,52,55,41,42,42,33,72,38,42,57,35,54,32,61,85,77,39,73,43,46,48,52,59,61,37,53
JA3253,46,36,46,53,61,65,55,50,38,77,69,50,33,32,48,52,41,63,56,41,54,41,51,63,54,64,58,62,71,83,83,62,82,45,59,53,69,67,39,56,55,47,55,50,45,44,58,44,74,48,67,67,55,52,52,52,46,70,47,53,54,51,42,51,51,65,36,73,49,51,32,50,35,60,48,45,74,63,40,53,46,56,41,45,40,43,41,46,49,37,50,79,47,45,39,68,71,36,85,80,80,41,63,68,45,41,50,46,42,37,35,32,50,64,58,57,64,54,46,50,56,55,57,63,72,68,67,50,68,67,70,67,53,51,60,59,66,55,60,43,45,42,60,58,52,43,67,48,56,50,64,61,49,63,74,62,54,67,54,53,52,52,0,52,45,58,61,61,70,60,69,63,67,69,52,51,51,50,51,54,71,77,70,53,50,74,76,59,50,58,83,40,77,78,41,54,80,73,47,45,45,43,52,68,48,56,47,43,37,37,50,47,50,43,45,59,74,58,60,53,77,59,49,53,76,58,40,48,48,40,61,36,28,49,35,54,82,48,56,41,61,49,50,51,57,47,55,80,52,58,54,40,47,40,49,41,72,54,57,43,44,44,35,74,42,44,59,39,56,34,63,87,79,39,75,43,48,50,54,61,63,39,55
JA4514,46,34,44,51,59,63,53,48,36,75,67,48,31,30,46,50,39,61,54,39,52,39,49,61,52,62,56,60,69,81,81,60,80,43,57,51,67,65,37,54,53,45,53,48,43,42,56,42,72,48,65,65,53,50,50,50,44,68,45,53,52,49,42,49,49,63,34,71,47,49,30,48,35,58,46,43,72,61,40,51,46,54,39,43,38,41,39,44,47,35,48,77,45,43,37,66,69,34,83,78,78,39,61,66,43,39,48,44,40,37,33,30,48,62,56,55,62,52,44,48,54,53,55,61,70,66,65,48,66,65,68,65,51,49,58,57,64,53,58,41,43,40,58,56,50,41,65,46,54,48,62,59,47,61,72,60,52,65,52,51,50,12,52,0,43,56,59,59,68,58,67,59,65,67,50,49,49,48,49,52,69,75,68,51,40,72,74,57,48,56,81,38,75,76,39,52,78,71,45,43,43,41,52,66,46,46,47,43,37,37,48,45,48,41,43,57,72,56,58,51,75,57,47,51,74,56,38,46,46,38,59,34,26,47,33,52,80,46,54,39,59,47,48,49,55,45,53,78,50,56,52,38,45,38,47,39,70,52,55,41,42,42,33,72,38,42,57,35,54,32,61,85,77,39,73,43,46,48,52,59,61,37,53
